央视频道,#genre#
CCTV1,http://120.211.51.175:8081/hls/1/index.m3u8
CCTV1,http://taihang.coccc.online:808/hls/1/index.m3u8
CCTV2,http://120.211.62.180:8000/hls/2/index.m3u8
CCTV2,http://taihang.coccc.online:808/hls/2/index.m3u8
CCTV2,http://120.211.51.175:8081/hls/2/index.m3u8
CCTV3,http://taihang.coccc.online:808/hls/3/index.m3u8
CCTV3,http://120.211.51.175:8081/hls/3/index.m3u8
CCTV4,http://taihang.coccc.online:808/hls/4/index.m3u8
CCTV4,http://120.211.51.175:8081/hls/4/index.m3u8
CCTV4,http://120.211.62.180:8000/hls/4/index.m3u8
CCTV5,http://120.211.51.175:8081/hls/5/index.m3u8
CCTV5,http://taihang.coccc.online:808/hls/5/index.m3u8
CCTV6,http://120.211.51.175:8081/hls/6/index.m3u8
CCTV7,http://120.211.62.180:8000/hls/7/index.m3u8
CCTV8,http://taihang.coccc.online:808/hls/8/index.m3u8
CCTV9,http://taihang.coccc.online:808/hls/9/index.m3u8
CCTV9,http://120.211.51.175:8081/hls/9/index.m3u8
CCTV10,http://taihang.coccc.online:808/hls/10/index.m3u8
CCTV10,http://120.211.51.175:8081/hls/10/index.m3u8
CCTV11,http://120.211.62.180:8000/hls/11/index.m3u8
CCTV11,http://taihang.coccc.online:808/hls/11/index.m3u8
CCTV12,http://120.211.62.180:8000/hls/12/index.m3u8
CCTV12,http://taihang.coccc.online:808/hls/12/index.m3u8
CCTV13,http://taihang.coccc.online:808/hls/13/index.m3u8
CCTV13,http://120.211.51.175:8081/hls/13/index.m3u8
CCTV14,http://taihang.coccc.online:808/hls/14/index.m3u8
CCTV14,http://120.211.51.175:8081/hls/14/index.m3u8
CCTV14,http://120.211.62.180:8000/hls/14/index.m3u8
CCTV15,http://120.211.51.175:8081/hls/15/index.m3u8
CCTV15,http://taihang.coccc.online:808/hls/15/index.m3u8
CCTV15,http://120.211.62.180:8000/hls/15/index.m3u8
CCTV16,http://ikuai.haleeyo.cn:9003/udp/239.77.0.165:5146
CCTV16,http://120.211.51.175:8081/hls/16/index.m3u8
CCTV17,http://taihang.coccc.online:808/hls/16/index.m3u8
CCTV5+,http://120.211.62.180:8000/hls/18/index.m3u8
CGTN,http://120.211.62.180:8000/hls/16/index.m3u8

卫视频道,#genre#
北京卫视,http://taihang.coccc.online:808/hls/45/index.m3u8
北京卫视,http://120.211.51.175:8081/hls/31/index.m3u8
江苏卫视,http://taihang.coccc.online:808/hls/40/index.m3u8
河北卫视,http://120.211.51.175:8081/hls/96/index.m3u8
河北卫视,http://taihang.coccc.online:808/hls/17/index.m3u8
河南卫视,http://120.211.62.180:8000/hls/40/index.m3u8
河南卫视,http://taihang.coccc.online:808/hls/37/index.m3u8
河南卫视,http://120.211.51.175:8081/hls/36/index.m3u8
山东卫视,http://120.211.51.175:8081/hls/34/index.m3u8
山东卫视,http://taihang.coccc.online:808/hls/38/index.m3u8
山东卫视,http://120.211.62.180:8000/hls/38/index.m3u8
安徽卫视,http://taihang.coccc.online:808/hls/39/index.m3u8
安徽卫视,http://120.211.51.175:8081/hls/30/index.m3u8
浙江卫视,http://taihang.coccc.online:808/hls/41/index.m3u8
浙江卫视,http://120.211.62.180:8000/hls/31/index.m3u8
湖南卫视,http://120.211.62.180:8000/hls/30/index.m3u8
湖南卫视,http://taihang.coccc.online:808/hls/42/index.m3u8
湖北卫视,http://taihang.coccc.online:808/hls/43/index.m3u8
东方卫视,http://120.211.51.175:8081/hls/42/index.m3u8
东方卫视,http://taihang.coccc.online:808/hls/46/index.m3u8
天津卫视,http://120.211.51.175:8081/hls/32/index.m3u8
天津卫视,http://120.211.62.180:8000/hls/36/index.m3u8
天津卫视,http://taihang.coccc.online:808/hls/47/index.m3u8
辽宁卫视,http://120.211.62.180:8000/hls/37/index.m3u8
辽宁卫视,http://120.211.51.175:8081/hls/33/index.m3u8
云南卫视,http://120.211.51.175:8081/hls/35/index.m3u8
云南卫视,http://120.211.62.180:8000/hls/39/index.m3u8
深圳卫视,http://120.211.51.175:8081/hls/40/index.m3u8
贵州卫视,http://120.211.51.175:8081/hls/39/index.m3u8
东南卫视,http://120.211.51.175:8081/hls/44/index.m3u8
