# 测速日志 - 2025-07-25 08:18:42
# 频道名称 | 速度(MB/s) | URL
CCTV1 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225812/index.m3u8
CCTV2 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225800/index.m3u8
CCTV5+ | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225821/index.m3u8
CCTV3 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225801/index.m3u8
CCTV5 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225803/index.m3u8
CCTV7 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225805/index.m3u8
CCTV4 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225802/index.m3u8
CCTV6 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225804/index.m3u8
CCTV8 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225806/index.m3u8
CCTV9 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225820/index.m3u8
CCTV10 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225814/index.m3u8
CCTV11 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225815/index.m3u8
CCTV12 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225816/index.m3u8
CCTV15 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225818/index.m3u8
CCTV13 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225817/index.m3u8
CCTV14 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225819/index.m3u8
广东卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225824/index.m3u8
北京卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225826/index.m3u8
浙江卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225825/index.m3u8
湖南卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225827/index.m3u8
东南卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225833/index.m3u8
辽宁卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225832/index.m3u8
上海东方卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225828/index.m3u8
天津卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225830/index.m3u8
江西卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225834/index.m3u8
广西卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225836/index.m3u8
四川卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225835/index.m3u8
河北卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225837/index.m3u8
贵州卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225838/index.m3u8
山西卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225839/index.m3u8
河南卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225842/index.m3u8
山东卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225843/index.m3u8
青海卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225841/index.m3u8
湖北卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225840/index.m3u8
安徽卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225844/index.m3u8
内蒙古视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225846/index.m3u8
甘肃卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225845/index.m3u8
宁夏卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225849/index.m3u8
江苏卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225847/index.m3u8
深圳卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225848/index.m3u8
陕西卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225850/index.m3u8
吉林卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225851/index.m3u8
新疆卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225852/index.m3u8
西藏卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225854/index.m3u8
云南卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225853/index.m3u8
旅游卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225855/index.m3u8
康巴卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225856/index.m3u8
黑龙江卫视 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225862/index.m3u8
CGTN1 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225813/index.m3u8
CGTN2 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225822/index.m3u8
CETV1 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225869/index.m3u8
CCTV2HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225923/index.m3u8
CCTV3HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225924/index.m3u8
CCTV8HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225928/index.m3u8
CCTV5HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225925/index.m3u8
CCTV1HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225922/index.m3u8
CCTV7HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225927/index.m3u8
CCTV6HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225926/index.m3u8
CCTV9HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225929/index.m3u8
CCTV10HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225931/index.m3u8
CCTV14HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225933/index.m3u8
浙江卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225934/index.m3u8
CCTV12HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225932/index.m3u8
湖南卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225935/index.m3u8
江苏卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225930/index.m3u8
上海东方卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225936/index.m3u8
北京卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225937/index.m3u8
深圳卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225938/index.m3u8
黑龙江卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225940/index.m3u8
天津卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225941/index.m3u8
山东卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225943/index.m3u8
广东卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225942/index.m3u8
安徽卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225945/index.m3u8
湖北卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225948/index.m3u8
凤凰中文 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225900/index.m3u8
辽宁卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225947/index.m3u8
重庆卫视HD | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225949/index.m3u8
凤凰資訊 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225901/index.m3u8
北京卡酷少儿 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225871/index.m3u8
金鹰卡通 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225870/index.m3u8
炫动卡通 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225872/index.m3u8
优漫卡通 | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225874/index.m3u8
SDETV | 0.0 | http://183.251.61.207/PLTV/88888888/224/3221225873/index.m3u8
